date,Value,isPartial,Region,topic
2019-03-24,85,False,Nordjylland,Movies
2019-03-31,72,False,Nordjylland,Movies
2019-04-07,57,False,Nordjylland,Movies
2019-04-14,55,False,Nordjylland,Movies
2019-04-21,48,False,Nordjylland,Movies
2019-04-28,45,False,Nordjylland,Movies
2019-05-05,59,False,Nordjylland,Movies
2019-05-12,57,False,Nordjylland,Movies
2019-05-19,49,False,Nordjylland,Movies
2019-05-26,54,False,Nordjylland,Movies
2019-06-02,53,False,Nordjylland,Movies
2019-06-09,53,False,Nordjylland,Movies
2019-06-16,45,False,Nordjylland,Movies
2019-06-23,48,False,Nordjylland,Movies
2019-06-30,53,False,Nordjylland,Movies
2019-07-07,52,False,Nordjylland,Movies
2019-07-14,62,False,Nordjylland,Movies
2019-07-21,60,False,Nordjylland,Movies
2019-07-28,49,False,Nordjylland,Movies
2019-08-04,55,False,Nordjylland,Movies
2019-08-11,67,False,Nordjylland,Movies
2019-08-18,68,False,Nordjylland,Movies
2019-08-25,37,False,Nordjylland,Movies
2019-09-01,56,False,Nordjylland,Movies
2019-09-08,67,False,Nordjylland,Movies
2019-09-15,59,False,Nordjylland,Movies
2019-09-22,65,False,Nordjylland,Movies
2019-09-29,60,False,Nordjylland,Movies
2019-10-06,65,False,Nordjylland,Movies
2019-10-13,58,False,Nordjylland,Movies
2019-10-20,47,False,Nordjylland,Movies
2019-10-27,51,False,Nordjylland,Movies
2019-11-03,55,False,Nordjylland,Movies
2019-11-10,66,False,Nordjylland,Movies
2019-11-17,54,False,Nordjylland,Movies
2019-11-24,46,False,Nordjylland,Movies
2019-12-01,65,False,Nordjylland,Movies
2019-12-08,61,False,Nordjylland,Movies
2019-12-15,61,False,Nordjylland,Movies
2019-12-22,98,False,Nordjylland,Movies
2019-12-29,74,False,Nordjylland,Movies
2020-01-05,65,False,Nordjylland,Movies
2020-01-12,57,False,Nordjylland,Movies
2020-01-19,65,False,Nordjylland,Movies
2020-01-26,50,False,Nordjylland,Movies
2020-02-02,66,False,Nordjylland,Movies
2020-02-09,63,False,Nordjylland,Movies
2020-02-16,73,False,Nordjylland,Movies
2020-02-23,55,False,Nordjylland,Movies
2020-03-01,48,False,Nordjylland,Movies
2020-03-08,60,False,Nordjylland,Movies
2020-03-15,75,False,Nordjylland,Movies
2020-03-22,73,False,Nordjylland,Movies
2020-03-29,65,False,Nordjylland,Movies
2020-04-05,80,False,Nordjylland,Movies
2020-04-12,66,False,Nordjylland,Movies
2020-04-19,49,False,Nordjylland,Movies
2020-04-26,55,False,Nordjylland,Movies
2020-05-03,65,False,Nordjylland,Movies
2020-05-10,52,False,Nordjylland,Movies
2020-05-17,56,False,Nordjylland,Movies
2020-05-24,44,False,Nordjylland,Movies
2020-05-31,50,False,Nordjylland,Movies
2020-06-07,61,False,Nordjylland,Movies
2020-06-14,49,False,Nordjylland,Movies
2020-06-21,47,False,Nordjylland,Movies
2020-06-28,49,False,Nordjylland,Movies
2020-07-05,72,False,Nordjylland,Movies
2020-07-12,58,False,Nordjylland,Movies
2020-07-19,74,False,Nordjylland,Movies
2020-07-26,61,False,Nordjylland,Movies
2020-08-02,44,False,Nordjylland,Movies
2020-08-09,49,False,Nordjylland,Movies
2020-08-16,60,False,Nordjylland,Movies
2020-08-23,44,False,Nordjylland,Movies
2020-08-30,45,False,Nordjylland,Movies
2020-09-06,54,False,Nordjylland,Movies
2020-09-13,50,False,Nordjylland,Movies
2020-09-20,64,False,Nordjylland,Movies
2020-09-27,51,False,Nordjylland,Movies
2020-10-04,59,False,Nordjylland,Movies
2020-10-11,58,False,Nordjylland,Movies
2020-10-18,66,False,Nordjylland,Movies
2020-10-25,68,False,Nordjylland,Movies
2020-11-01,59,False,Nordjylland,Movies
2020-11-08,64,False,Nordjylland,Movies
2020-11-15,50,False,Nordjylland,Movies
2020-11-22,56,False,Nordjylland,Movies
2020-11-29,54,False,Nordjylland,Movies
2020-12-06,51,False,Nordjylland,Movies
2020-12-13,61,False,Nordjylland,Movies
2020-12-20,75,False,Nordjylland,Movies
2020-12-27,73,False,Nordjylland,Movies
2021-01-03,58,False,Nordjylland,Movies
2021-01-10,58,False,Nordjylland,Movies
2021-01-17,62,False,Nordjylland,Movies
2021-01-24,62,False,Nordjylland,Movies
2021-01-31,65,False,Nordjylland,Movies
2021-02-07,56,False,Nordjylland,Movies
2021-02-14,85,False,Nordjylland,Movies
2021-02-21,62,False,Nordjylland,Movies
2021-02-28,38,False,Nordjylland,Movies
2021-03-07,60,False,Nordjylland,Movies
2021-03-14,58,False,Nordjylland,Movies
2021-03-21,55,False,Nordjylland,Movies
2021-03-28,69,False,Nordjylland,Movies
2021-04-04,52,False,Nordjylland,Movies
2021-04-11,49,False,Nordjylland,Movies
2021-04-18,59,False,Nordjylland,Movies
2021-04-25,60,False,Nordjylland,Movies
2021-05-02,57,False,Nordjylland,Movies
2021-05-09,65,False,Nordjylland,Movies
2021-05-16,48,False,Nordjylland,Movies
2021-05-23,61,False,Nordjylland,Movies
2021-05-30,44,False,Nordjylland,Movies
2021-06-06,56,False,Nordjylland,Movies
2021-06-13,49,False,Nordjylland,Movies
2021-06-20,47,False,Nordjylland,Movies
2021-06-27,51,False,Nordjylland,Movies
2021-07-04,47,False,Nordjylland,Movies
2021-07-11,49,False,Nordjylland,Movies
2021-07-18,86,False,Nordjylland,Movies
2021-07-25,70,False,Nordjylland,Movies
2021-08-01,49,False,Nordjylland,Movies
2021-08-08,49,False,Nordjylland,Movies
2021-08-15,56,False,Nordjylland,Movies
2021-08-22,53,False,Nordjylland,Movies
2021-08-29,33,False,Nordjylland,Movies
2021-09-05,50,False,Nordjylland,Movies
2021-09-12,53,False,Nordjylland,Movies
2021-09-19,61,False,Nordjylland,Movies
2021-09-26,50,False,Nordjylland,Movies
2021-10-03,54,False,Nordjylland,Movies
2021-10-10,55,False,Nordjylland,Movies
2021-10-17,58,False,Nordjylland,Movies
2021-10-24,68,False,Nordjylland,Movies
2021-10-31,69,False,Nordjylland,Movies
2021-11-07,66,False,Nordjylland,Movies
2021-11-14,49,False,Nordjylland,Movies
2021-11-21,61,True,Nordjylland,Movies
2016-11-27,40,False,Nordjylland,Sports
2016-12-04,30,False,Nordjylland,Sports
2016-12-11,64,False,Nordjylland,Sports
2016-12-18,68,False,Nordjylland,Sports
2016-12-25,54,False,Nordjylland,Sports
2017-01-01,40,False,Nordjylland,Sports
2017-01-08,71,False,Nordjylland,Sports
2017-01-15,62,False,Nordjylland,Sports
2017-01-22,75,False,Nordjylland,Sports
2017-01-29,53,False,Nordjylland,Sports
2017-02-05,62,False,Nordjylland,Sports
2017-02-12,47,False,Nordjylland,Sports
2017-02-19,46,False,Nordjylland,Sports
2017-02-26,47,False,Nordjylland,Sports
2017-03-05,76,False,Nordjylland,Sports
2017-03-12,49,False,Nordjylland,Sports
2017-03-19,65,False,Nordjylland,Sports
2017-03-26,48,False,Nordjylland,Sports
2017-04-02,25,False,Nordjylland,Sports
2017-04-09,83,False,Nordjylland,Sports
2017-04-16,57,False,Nordjylland,Sports
2017-04-23,65,False,Nordjylland,Sports
2017-04-30,42,False,Nordjylland,Sports
2017-05-07,46,False,Nordjylland,Sports
2017-05-14,68,False,Nordjylland,Sports
2017-05-21,51,False,Nordjylland,Sports
2017-05-28,32,False,Nordjylland,Sports
2017-06-04,70,False,Nordjylland,Sports
2017-06-11,62,False,Nordjylland,Sports
2017-06-18,85,False,Nordjylland,Sports
2017-06-25,38,False,Nordjylland,Sports
2017-07-02,68,False,Nordjylland,Sports
2017-07-09,78,False,Nordjylland,Sports
2017-07-16,81,False,Nordjylland,Sports
2017-07-23,49,False,Nordjylland,Sports
2017-07-30,87,False,Nordjylland,Sports
2017-08-06,44,False,Nordjylland,Sports
2017-08-13,74,False,Nordjylland,Sports
2017-08-20,67,False,Nordjylland,Sports
2017-08-27,93,False,Nordjylland,Sports
2017-09-03,47,False,Nordjylland,Sports
2017-09-10,29,False,Nordjylland,Sports
2017-09-17,89,False,Nordjylland,Sports
2017-09-24,57,False,Nordjylland,Sports
2017-10-01,61,False,Nordjylland,Sports
2017-10-08,57,False,Nordjylland,Sports
2017-10-15,71,False,Nordjylland,Sports
2017-10-22,77,False,Nordjylland,Sports
2017-10-29,48,False,Nordjylland,Sports
2017-11-05,40,False,Nordjylland,Sports
2017-11-12,62,False,Nordjylland,Sports
2017-11-19,60,False,Nordjylland,Sports
2017-11-26,48,False,Nordjylland,Sports
2017-12-03,62,False,Nordjylland,Sports
2017-12-10,69,False,Nordjylland,Sports
2017-12-17,53,False,Nordjylland,Sports
2017-12-24,43,False,Nordjylland,Sports
2017-12-31,46,False,Nordjylland,Sports
2018-01-07,55,False,Nordjylland,Sports
2018-01-14,89,False,Nordjylland,Sports
2018-01-21,85,False,Nordjylland,Sports
2018-01-28,69,False,Nordjylland,Sports
2018-02-04,38,False,Nordjylland,Sports
2018-02-11,74,False,Nordjylland,Sports
2018-02-18,68,False,Nordjylland,Sports
2018-02-25,46,False,Nordjylland,Sports
2018-03-04,56,False,Nordjylland,Sports
2018-03-11,56,False,Nordjylland,Sports
2018-03-18,79,False,Nordjylland,Sports
2018-03-25,74,False,Nordjylland,Sports
2018-04-01,84,False,Nordjylland,Sports
2018-04-08,47,False,Nordjylland,Sports
2018-04-15,77,False,Nordjylland,Sports
2018-04-22,65,False,Nordjylland,Sports
2018-04-29,70,False,Nordjylland,Sports
2018-05-06,57,False,Nordjylland,Sports
2018-05-13,76,False,Nordjylland,Sports
2018-05-20,54,False,Nordjylland,Sports
2018-05-27,56,False,Nordjylland,Sports
2018-06-03,54,False,Nordjylland,Sports
2018-06-10,55,False,Nordjylland,Sports
2018-06-17,68,False,Nordjylland,Sports
2018-06-24,59,False,Nordjylland,Sports
2018-07-01,55,False,Nordjylland,Sports
2018-07-08,72,False,Nordjylland,Sports
2018-07-15,70,False,Nordjylland,Sports
2018-07-22,64,False,Nordjylland,Sports
2018-07-29,33,False,Nordjylland,Sports
2018-08-05,74,False,Nordjylland,Sports
2018-08-12,64,False,Nordjylland,Sports
2018-08-19,65,False,Nordjylland,Sports
2018-08-26,56,False,Nordjylland,Sports
2018-09-02,76,False,Nordjylland,Sports
2018-09-09,45,False,Nordjylland,Sports
2018-09-16,64,False,Nordjylland,Sports
2018-09-23,44,False,Nordjylland,Sports
2018-09-30,61,False,Nordjylland,Sports
2018-10-07,56,False,Nordjylland,Sports
2018-10-14,28,False,Nordjylland,Sports
2018-10-21,46,False,Nordjylland,Sports
2018-10-28,53,False,Nordjylland,Sports
2018-11-04,62,False,Nordjylland,Sports
2018-11-11,80,False,Nordjylland,Sports
2018-11-18,64,False,Nordjylland,Sports
2018-11-25,34,False,Nordjylland,Sports
2018-12-02,74,False,Nordjylland,Sports
2018-12-09,54,False,Nordjylland,Sports
2018-12-16,52,False,Nordjylland,Sports
2018-12-23,37,False,Nordjylland,Sports
2018-12-30,82,False,Nordjylland,Sports
2019-01-06,63,False,Nordjylland,Sports
2019-01-13,98,False,Nordjylland,Sports
2019-01-20,97,False,Nordjylland,Sports
2019-01-27,86,False,Nordjylland,Sports
2019-02-03,52,False,Nordjylland,Sports
2019-02-10,73,False,Nordjylland,Sports
2019-02-17,79,False,Nordjylland,Sports
2019-02-24,92,False,Nordjylland,Sports
2019-03-03,45,False,Nordjylland,Sports
2019-03-10,35,False,Nordjylland,Sports
2019-03-17,48,False,Nordjylland,Sports
2019-03-24,88,False,Nordjylland,Sports
2019-03-31,61,False,Nordjylland,Sports
2019-04-07,59,False,Nordjylland,Sports
2019-04-14,79,False,Nordjylland,Sports
2019-04-21,55,False,Nordjylland,Sports
2019-04-28,53,False,Nordjylland,Sports
2019-05-05,62,False,Nordjylland,Sports
2019-05-12,61,False,Nordjylland,Sports
2019-05-19,60,False,Nordjylland,Sports
2019-05-26,51,False,Nordjylland,Sports
2019-06-02,58,False,Nordjylland,Sports
2019-06-09,74,False,Nordjylland,Sports
2019-06-16,28,False,Nordjylland,Sports
2019-06-23,54,False,Nordjylland,Sports
2019-06-30,78,False,Nordjylland,Sports
2019-07-07,51,False,Nordjylland,Sports
2019-07-14,59,False,Nordjylland,Sports
2019-07-21,80,False,Nordjylland,Sports
2019-07-28,38,False,Nordjylland,Sports
2019-08-04,90,False,Nordjylland,Sports
2019-08-11,39,False,Nordjylland,Sports
2019-08-18,59,False,Nordjylland,Sports
2019-08-25,86,False,Nordjylland,Sports
2019-09-01,85,False,Nordjylland,Sports
2019-09-08,54,False,Nordjylland,Sports
2019-09-15,55,False,Nordjylland,Sports
2019-09-22,54,False,Nordjylland,Sports
2019-09-29,54,False,Nordjylland,Sports
2019-10-06,68,False,Nordjylland,Sports
2019-10-13,59,False,Nordjylland,Sports
2019-10-20,64,False,Nordjylland,Sports
2019-10-27,66,False,Nordjylland,Sports
2019-11-03,50,False,Nordjylland,Sports
2019-11-10,75,False,Nordjylland,Sports
2019-11-17,54,False,Nordjylland,Sports
2019-11-24,76,False,Nordjylland,Sports
2019-12-01,74,False,Nordjylland,Sports
2019-12-08,100,False,Nordjylland,Sports
2019-12-15,74,False,Nordjylland,Sports
2019-12-22,63,False,Nordjylland,Sports
2019-12-29,77,False,Nordjylland,Sports
2020-01-05,75,False,Nordjylland,Sports
2020-01-12,91,False,Nordjylland,Sports
2020-01-19,64,False,Nordjylland,Sports
2020-01-26,78,False,Nordjylland,Sports
2020-02-02,73,False,Nordjylland,Sports
2020-02-09,57,False,Nordjylland,Sports
2020-02-16,86,False,Nordjylland,Sports
2020-02-23,72,False,Nordjylland,Sports
2020-03-01,80,False,Nordjylland,Sports
2020-03-08,77,False,Nordjylland,Sports
2020-03-15,27,False,Nordjylland,Sports
2020-03-22,41,False,Nordjylland,Sports
2020-03-29,26,False,Nordjylland,Sports
2020-04-05,30,False,Nordjylland,Sports
2020-04-12,36,False,Nordjylland,Sports
2020-04-19,30,False,Nordjylland,Sports
2020-04-26,46,False,Nordjylland,Sports
2020-05-03,40,False,Nordjylland,Sports
